Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
prod_cell1;;0;;1;1;1;1;0;;50;0.78;276.94;580.84;277.45;586.46;0.94;0.06;0.98;0.02;;7
prod_cell1_corrected;;0;;1;1;0;0;0;;50;0.84;1402.80;506.11;1411.33;513.43;0.62;0.38;0.98;0.02;;7
task2_prod_cell1;;0;;1;0;0;0;0;;83;0.07;824.49;466.88;847.69;471.24;0.14;0.86;1.00;0.00;;12
task2_prod_cell1_corrected;;0;;1;1;0;0;0;;83;0.94;166.92;120.28;169.40;123.44;0.98;0.02;1.00;0.00;;12
Cell1_21_Light_Fit_Strawberry;;0;;1;0;0;0;0;;74;0.00;154.66;189.30;154.76;189.36;0.00;1.00;1.00;0.00;;10
Cell1_21_Light_Fit_Strawberry_corrected;;0;;1;1;0;0;0;;74;1.00;28.53;3.57;28.92;3.59;1.00;0.00;1.00;0.00;;10
Cell1_22_Yokids_CherryBerryBase;;0;;0;0;0;0;0;;9;0.00;61.54;123.76;61.80;129.21;0.00;1.00;1.00;0.00;;2
Cell1_22_Yokids_CherryBerryBase_corrected;;0;;0;1;0;0;0;;9;1.00;19.17;2.27;19.21;2.31;1.00;0.00;1.00;0.00;;2
Cell1_12_YoBaby_Banana_Mango;;0;;1;0;0;0;0;;43;0.00;101.46;183.33;102.86;204.71;0.00;1.00;1.00;0.00;;6
Cell1_12_YoBaby_Banana_Mango_corrected;;0;;1;1;0;0;0;;43;1.00;25.07;3.28;26.41;3.63;1.00;0.00;1.00;0.00;;6
Cell1_11_Light_Fit_vanilla;;0;;1;0;0;0;0;;13;0.00;75.93;107.74;77.73;108.90;0.00;1.00;1.00;0.00;;2
Cell1_11_Light_Fit_vanilla_corrected;;0;;1;1;0;0;0;;13;1.00;12.43;1.64;13.23;1.96;1.00;0.00;1.00;0.00;;2
peapodB;;0;;1;0;0;0;0;;65;0.00;129.60;186.65;129.99;191.48;0.00;1.00;1.00;0.00;;8
peapodB_corrected;;0;;1;1;0;0;0;;65;1.00;22.68;2.69;22.91;2.72;1.00;0.00;1.00;0.00;;8
TargetC;;0;;1;0;0;0;0;;81;0.00;158.43;201.30;158.61;204.00;0.00;1.00;1.00;0.00;;11
TargetC_corrected;;0;;1;1;0;0;0;;81;1.00;24.06;3.00;24.07;3.00;1.00;0.00;1.00;0.00;;11
