Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;1;;1;1;1;1;1;;128;1.00;259.63;162.07;259.70;164.72;0.69;0.31;0.81;0.19;;7
filler-1_corrected;;1;;1;1;1;1;1;;128;0.88;480.79;236.59;481.04;237.44;0.44;0.56;0.52;0.48;;7
filler-2;;0;;1;1;0;0;1;;63;1.00;138.65;134.76;138.96;138.89;0.65;0.35;0.86;0.14;;4
filler-2_corrected;;1;;1;1;1;1;1;;63;1.00;252.66;209.12;253.04;216.68;0.37;0.63;0.57;0.43;;4
1.reference-lSRP-Right-shelf;;1;;1;1;1;1;1;;364;0.99;271.67;196.30;279.12;197.69;0.49;0.51;0.52;0.48;;15
1.reference-lSRP-Right-shelf_corrected;;1;;1;1;1;1;1;;364;0.73;514.32;355.69;525.38;356.12;0.36;0.64;0.32;0.68;;15
translation-far;;0;;1;1;0;0;1;;47;1.00;113.78;137.05;120.21;140.79;0.74;0.26;0.81;0.19;;2
translation-far_corrected;;1;;1;1;1;1;1;;47;0.91;229.46;218.75;247.04;225.73;0.40;0.60;0.66;0.34;;2
1.Shabam-Marketing-reference;;1;;1;1;1;1;1;;684;0.99;282.98;174.85;283.43;176.02;0.50;0.50;0.72;0.28;;32
1.Shabam-Marketing-reference_corrected;;1;;1;1;1;1;1;;684;0.83;489.80;280.62;491.92;284.27;0.37;0.63;0.52;0.48;;32
translation-individual;;0;;1;1;0;0;0;;41;1.00;60.49;57.96;60.52;59.44;1.00;0.00;1.00;0.00;;2
translation-individual_corrected;;0;;1;1;0;0;1;;41;1.00;103.81;94.79;104.27;97.69;0.51;0.49;0.49;0.51;;2
1.lSRP-pepper-individual;;1;;1;1;1;1;1;;86;1.00;180.10;125.34;186.88;127.10;0.52;0.48;0.33;0.67;;4
1.lSRP-pepper-individual_corrected;;1;;1;1;1;1;1;;86;0.69;351.10;215.24;369.78;217.10;0.24;0.76;0.10;0.90;;4
1-Shabam-reference-individual;;1;;1;1;1;1;1;;47;1.00;181.24;155.06;189.05;162.65;0.64;0.36;0.79;0.21;;2
1-Shabam-reference-individual_corrected;;1;;1;1;1;1;1;;47;0.81;363.33;252.50;379.73;269.54;0.43;0.57;0.53;0.47;;2
