Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;0;;1;1;0;0;1;;32;1.00;86.22;91.99;87.15;95.05;0.59;0.41;0.25;0.75;;1
filler-1_corrected;;0;;1;1;0;1;0;;32;1.00;157.91;107.90;172.77;110.69;0.66;0.34;0.06;0.94;;1
filler-2;;0;;1;1;0;0;0;;31;0.94;151.74;116.88;154.84;118.76;0.90;0.10;0.00;1.00;;1
filler-2_corrected;;0;;1;1;1;1;0;;31;0.90;195.60;138.61;199.35;140.43;0.90;0.10;0.00;1.00;;1
1.reference-lSRP-Right-shelf;;0;;1;1;1;1;0;;223;0.88;323.30;134.35;328.26;134.56;0.94;0.06;0.19;0.81;;10
1.reference-lSRP-Right-shelf_corrected;;0;;1;1;1;1;0;;223;0.80;341.38;132.66;343.75;134.69;0.96;0.04;0.14;0.86;;10
translation-far;;0;;1;1;0;0;0;;31;1.00;217.41;77.70;218.49;83.31;0.81;0.19;0.00;1.00;;1
translation-far_corrected;;0;;1;1;0;0;0;;31;0.90;285.75;75.06;286.37;78.75;0.90;0.10;0.00;1.00;;1
1.Shabam-Marketing-reference;;0;;1;1;1;1;0;;758;0.90;351.55;115.46;352.09;115.46;0.82;0.18;0.06;0.94;;37
1.Shabam-Marketing-reference_corrected;;0;;1;1;1;1;0;;758;0.75;413.69;111.37;415.11;111.57;0.86;0.14;0.04;0.96;;37
translation-individual;;0;;1;0;1;1;1;;50;0.58;702.02;282.65;702.16;286.52;0.76;0.24;0.24;0.76;;3
translation-individual_corrected;;0;;1;0;1;1;1;;50;0.52;3931.49;712.81;3999.99;731.98;0.82;0.18;0.22;0.78;;3
1-Shabam-reference-individual;;0;;1;1;1;1;0;;48;1.00;235.28;89.94;244.83;91.16;0.73;0.27;0.00;1.00;;3
1-Shabam-reference-individual_corrected;;0;;1;1;1;1;0;;48;0.88;304.10;102.95;321.33;103.54;0.79;0.21;0.00;1.00;;3
1.lSRP-pepper-individual;;0;;1;1;0;0;0;;25;1.00;141.16;36.67;141.96;39.56;0.88;0.12;0.00;1.00;;1
1.lSRP-pepper-individual_corrected;;0;;1;1;0;0;0;;25;0.76;170.02;39.09;172.84;40.81;1.00;0.00;0.00;1.00;;1
