Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
prod_cell1;;0;;1;1;0;0;0;;108;0.95;360.92;320.76;360.93;323.79;0.35;0.65;0.99;0.01;;11
prod_cell1_corrected;;0;;1;1;0;0;0;;108;0.99;360.78;234.63;362.15;240.68;0.43;0.57;1.00;0.00;;11
task2_prod_cell1;;0;;1;1;0;0;0;;115;0.70;398.45;66.08;413.93;66.63;0.10;0.90;1.00;0.00;;10
task2_prod_cell1_corrected;;0;;1;1;0;0;0;;115;0.99;342.01;44.94;342.05;44.95;0.35;0.65;1.00;0.00;;10
Cell1_12_YoBaby_Banana_Mango;;0;;1;1;0;0;0;;43;0.74;318.43;110.19;318.65;120.72;0.05;0.95;1.00;0.00;;3
Cell1_12_YoBaby_Banana_Mango_corrected;;0;;1;1;0;0;0;;43;0.88;1860.43;245.87;1891.26;250.04;0.14;0.86;1.00;0.00;;3
Cell1_22_Yokids_CherryBerryBase;;0;;1;0;0;0;0;;15;0.60;353.04;173.91;354.19;173.93;0.00;1.00;1.00;0.00;;2
Cell1_22_Yokids_CherryBerryBase_corrected;;0;;1;1;0;0;0;;15;1.00;160.64;20.98;170.77;22.43;0.47;0.53;1.00;0.00;;2
Cell1_11_Light_Fit_vanilla;;0;;1;1;0;0;0;;16;0.94;177.56;76.16;185.94;77.13;0.00;1.00;1.00;0.00;;2
Cell1_11_Light_Fit_vanilla_corrected;;0;;1;1;0;0;0;;16;1.00;130.78;17.03;130.90;17.05;0.44;0.56;1.00;0.00;;2
Cell1_21_Light_Fit_Strawberry;;0;;1;1;0;0;0;;17;1.00;152.07;82.68;158.02;87.40;0.00;1.00;1.00;0.00;;2
Cell1_21_Light_Fit_Strawberry_corrected;;0;;1;1;0;0;0;;17;1.00;164.99;21.65;170.01;22.42;0.82;0.18;1.00;0.00;;2
peapodB;;0;;1;1;0;0;0;;101;0.72;336.42;104.70;337.02;106.99;0.19;0.81;1.00;0.00;;10
peapodB_corrected;;0;;1;1;0;0;0;;101;0.91;950.37;123.61;968.29;126.05;0.35;0.65;1.00;0.00;;10
TargetC;;0;;1;1;0;0;0;;24;0.83;279.51;118.42;292.88;118.96;0.00;1.00;1.00;0.00;;3
TargetC_corrected;;0;;1;1;0;0;0;;24;0.96;403.81;52.91;409.03;53.65;0.46;0.54;1.00;0.00;;3
