Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;1;;1;1;1;1;1;;57;0.82;379.55;230.54;404.06;250.02;0.32;0.68;0.44;0.56;;2
filler-1_corrected;;1;;1;1;1;1;1;;57;0.79;484.26;282.12;503.65;292.38;0.32;0.68;0.42;0.58;;2
filler-2;;0;;1;1;0;0;1;;75;1.00;197.78;78.58;203.66;78.80;0.49;0.51;0.53;0.47;;3
filler-2_corrected;;1;;1;1;1;1;1;;75;1.00;278.33;127.69;282.26;131.10;0.49;0.51;0.52;0.48;;3
1.reference-lSRP-Right-shelf;;1;;1;1;1;1;1;;459;0.97;413.94;141.71;433.75;146.79;0.41;0.59;0.52;0.48;;19
1.reference-lSRP-Right-shelf_corrected;;1;;1;1;1;1;1;;459;0.80;906.13;426.55;910.29;437.15;0.37;0.63;0.43;0.57;;19
translation-far;;1;;1;1;1;1;1;;63;0.97;331.24;107.38;350.58;108.61;0.76;0.24;0.75;0.25;;3
translation-far_corrected;;1;;1;1;1;1;1;;63;0.90;687.83;244.49;722.08;252.64;0.68;0.32;0.79;0.21;;3
1.Shabam-Marketing-reference;;1;;1;1;1;1;1;;376;0.98;335.59;206.31;345.71;210.72;0.62;0.38;0.41;0.59;;16
1.Shabam-Marketing-reference_corrected;;1;;1;1;1;1;1;;376;0.85;694.87;490.75;708.40;494.23;0.56;0.44;0.43;0.57;;16
1-Shabam-reference-individual;;0;;1;1;1;1;0;;200;0.81;167.67;144.56;169.73;144.56;0.98;0.02;0.00;1.00;;9
1-Shabam-reference-individual_corrected;;0;;1;0;1;1;0;;200;0.28;3947.85;11334.36;3961.92;11369.12;0.97;0.04;0.01;0.99;;9
translation-individual;;0;;1;1;0;0;0;;44;1.00;64.43;77.13;66.76;81.51;1.00;0.00;0.00;1.00;;2
translation-individual_corrected;;0;;1;1;0;0;0;;44;0.91;87.45;147.23;93.11;158.22;1.00;0.00;0.05;0.95;;2
1.lSRP-pepper-individual;;0;;1;1;0;0;0;;311;0.73;151.31;134.42;151.32;135.38;0.86;0.14;0.03;0.97;;14
1.lSRP-pepper-individual_corrected;;0;;1;0;1;1;0;;311;0.26;324.52;409.44;324.60;410.67;0.73;0.27;0.03;0.97;;14
