Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;1;;1;1;1;1;1;;255;0.95;337.07;146.89;342.10;149.28;0.68;0.32;0.47;0.53;;16
filler-1_corrected;;1;;1;1;1;1;1;;255;0.96;338.23;220.69;340.59;221.69;0.63;0.37;0.36;0.64;;16
filler-2;;1;;1;1;1;1;1;;122;1.00;314.27;151.48;320.78;151.58;0.70;0.30;0.67;0.33;;8
filler-2_corrected;;1;;1;1;1;1;1;;122;1.00;327.26;203.62;338.03;204.56;0.70;0.30;0.55;0.45;;8
1.reference-lSRP-Right-shelf;;1;;1;1;1;1;1;;93;0.86;336.45;199.72;337.66;205.67;0.31;0.69;0.19;0.81;;6
1.reference-lSRP-Right-shelf_corrected;;0;;1;1;1;1;0;;93;0.70;411.36;387.31;413.40;402.21;0.26;0.74;0.06;0.94;;6
translation-far;;1;;1;1;0;1;1;;31;1.00;155.22;126.23;162.71;142.80;0.74;0.26;0.52;0.48;;2
translation-far_corrected;;0;;1;1;1;1;0;;31;0.74;184.70;216.81;195.21;247.45;0.71;0.29;0.00;1.00;;2
1.Shabam-Marketing-reference;;1;;1;1;1;1;1;;558;0.86;398.26;158.68;406.24;159.60;0.70;0.30;0.49;0.51;;35
1.Shabam-Marketing-reference_corrected;;1;;1;1;1;1;1;;558;0.81;422.00;261.29;426.11;267.11;0.65;0.35;0.29;0.71;;35
1-Shabam-reference-individual;;1;;1;1;1;1;1;;151;1.00;265.61;104.19;265.61;104.42;0.82;0.18;0.26;0.74;;10
1-Shabam-reference-individual_corrected;;1;;1;1;1;1;1;;151;0.97;305.43;167.21;305.78;167.22;0.80;0.20;0.16;0.84;;10
1.lSRP-pepper-individual;;0;;1;1;1;1;0;;142;0.90;245.61;129.01;248.12;129.40;0.70;0.30;0.03;0.97;;10
1.lSRP-pepper-individual_corrected;;0;;1;0;1;1;0;;142;0.30;305.07;259.03;305.65;259.08;0.60;0.40;0.00;1.00;;10
translation-individual;;0;;1;1;0;0;0;;28;0.89;151.36;140.18;153.68;142.04;0.93;0.07;0.18;0.82;;2
translation-individual_corrected;;0;;1;1;1;1;0;;28;0.86;185.67;263.22;187.32;268.94;0.89;0.11;0.00;1.00;;2
