Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;1;;1;1;1;1;1;;96;0.91;362.30;128.30;396.54;129.25;0.31;0.69;0.18;0.82;;8
filler-1_corrected;;0;;1;1;1;1;0;;96;0.77;483.78;363.23;527.00;368.74;0.31;0.69;0.09;0.91;;8
filler-2;;1;;1;1;1;1;1;;275;0.97;309.06;160.26;309.84;160.26;0.28;0.72;0.65;0.35;;23
filler-2_corrected;;1;;1;1;1;1;1;;275;0.88;367.82;282.51;369.66;284.78;0.26;0.74;0.51;0.49;;23
FULL_BAY_IrishRecipe_cell4;;0;;1;1;1;1;0;;91;0.70;113.13;118.56;113.81;124.14;0.03;0.97;0.18;0.82;;8
FULL_BAY_IrishRecipe_cell4_corrected;;0;;1;0;1;1;0;;91;0.26;191.37;262.09;193.10;269.86;0.03;0.97;0.12;0.88;;8
XXX-translation-1;;0;;1;1;0;0;0;;20;1.00;106.94;68.58;116.91;70.89;0.00;1.00;0.30;0.70;;2
XXX-translation-1_corrected;;0;;1;1;1;1;0;;20;0.90;168.67;148.19;186.17;157.44;0.00;1.00;0.00;1.00;;2
3_SHELVES_IrishRecipe_cell4;;1;;1;1;1;1;1;;165;1.00;247.13;106.30;257.67;106.58;0.32;0.68;0.15;0.85;;15
3_SHELVES_IrishRecipe_cell4_corrected;;0;;1;0;1;1;0;;165;0.59;398.47;227.73;398.73;232.82;0.31;0.69;0.09;0.91;;15
XXX-translation-2;;0;;1;1;0;0;1;;21;1.00;93.93;122.67;98.71;138.56;0.71;0.29;0.29;0.71;;2
XXX-translation-2_corrected;;0;;1;1;0;0;1;;21;1.00;116.43;162.23;123.39;182.77;0.67;0.33;0.29;0.71;;2
PRODUCT_SHOT_skinless_IrishRecipe_cell4;;0;;1;1;0;0;0;;51;1.00;196.98;82.56;197.35;82.69;0.10;0.90;0.22;0.78;;5
PRODUCT_SHOT_skinless_IrishRecipe_cell4_corrected;;0;;1;1;1;1;0;;51;0.71;315.54;176.13;319.02;178.58;0.10;0.90;0.08;0.92;;5
