Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;0;;1;1;0;0;0;;20;0,90;95,93;199,45;96,92;204,01;1,00;0,00;0,25;0,75;;1
filler-1_corrected;;1;;1;1;1;1;1;;20;0,80;1298,12;743,51;1298,21;743,85;0,65;0,35;0,85;0,15;;1
filler-2;;0;;0;1;0;0;0;;1;1,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;0,00;;1
filler-2_corrected;;0;;0;1;0;0;0;;1;1,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;0,00;;1
1.reference-lSRP-Right-shelf;;0;;1;1;0;0;0;;10;0,80;145,45;304,00;151,04;361,60;1,00;0,00;0,60;0,40;;1
1.reference-lSRP-Right-shelf_corrected;;1;;1;1;1;1;1;;10;0,70;1425,28;746,66;1425,39;747,14;0,30;0,70;0,80;0,20;;1
translation-far;;0;;1;1;0;0;0;;10;1,00;185,90;18,21;185,97;19,24;0,70;0,30;0,00;1,00;;1
translation-far_corrected;;0;;1;1;0;0;0;;10;1,00;236,54;34,61;237,96;34,76;0,50;0,50;1,00;0,00;;1
1.Shabam-Marketing-reference;;1;;1;1;1;1;1;;37;0,92;314,15;188,55;320,22;199,40;0,59;0,41;0,54;0,46;;5
1.Shabam-Marketing-reference_corrected;;1;;1;1;1;1;1;;37;0,81;8409,00;8356,03;8432,54;8438,21;0,16;0,84;0,89;0,11;;5
1-Shabam-reference-individual;;0;;1;1;1;1;0;;16;0,69;315,81;232,56;318,63;262,88;0,06;0,94;0,00;1,00;;2
1-Shabam-reference-individual_corrected;;0;;1;0;1;1;1;;16;0,63;5581,14;8169,59;5685,92;8338,94;0,13;0,88;0,50;0,50;;2
translation-individual;;0;;1;1;1;1;0;;14;0,86;255,07;169,63;256,65;181,20;0,43;0,57;0,00;1,00;;1
translation-individual_corrected;;1;;1;1;1;1;1;;14;0,71;6727,93;5446,71;6864,65;5572,01;0,64;0,36;0,64;0,36;;1
1.lSRP-pepper-individual;;0;;0;1;0;0;0;;9;0,67;413,01;32,14;449,34;32,89;0,33;0,67;0,00;1,00;;1
1.lSRP-pepper-individual_corrected;;0;;0;1;0;0;1;;9;1,00;448,39;61,84;496,60;68,35;0,33;0,67;0,22;0,78;;1
