Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1_NL;;0;;1;1;0;0;1;;42;1,00;169,03;71,43;170,18;72,78;0,69;0,31;0,33;0,67;;2
filler-1_NL_corrected;;0;;1;1;0;0;1;;42;1,00;183,67;88,25;183,88;89,10;0,86;0,14;0,40;0,60;;2
filler-2_NL;;0;;0;1;0;0;0;;7;1,00;28,34;18,40;29,41;18,86;0,00;1,00;1,00;0,00;;0
filler-2_NL_corrected;;0;;0;1;0;0;0;;7;1,00;31,98;21,35;32,90;21,93;0,71;0,29;1,00;0,00;;0
XXX-translation-1-nl;;0;;1;1;0;0;0;;44;1,00;103,63;44,76;106,57;45,29;0,25;0,75;0,09;0,91;;2
XXX-translation-1-nl_corrected;;0;;1;1;0;0;1;;44;1,00;125,25;59,38;128,31;60,07;0,52;0,48;0,32;0,68;;2
new_ver5;;0;;1;1;0;0;0;;28;1,00;50,52;46,09;50,98;47,54;0,00;1,00;0,00;1,00;;1
new_ver5_corrected;;0;;1;1;0;0;0;;28;1,00;70,73;71,47;71,36;73,06;0,11;0,89;0,04;0,96;;1
cell2_novi_bruine_prednja_strana_fin;;0;;1;1;0;0;0;;186;0,99;55,92;78,66;55,92;79,00;0,05;0,95;0,18;0,82;;7
cell2_novi_bruine_prednja_strana_fin_corrected;;0;;1;1;0;0;1;;186;0,98;67,03;168,31;67,03;169,56;0,41;0,59;0,30;0,70;;7
cell2_novi_bruine_zadnja_strana_fin;;0;;1;1;0;0;1;;189;0,99;56,67;68,24;56,67;69,29;0,49;0,51;0,12;0,88;;7
cell2_novi_bruine_zadnja_strana_fin_corrected;;0;;1;1;0;0;0;;189;0,98;67,16;119,10;67,28;121,69;0,90;0,10;0,30;0,70;;7
cell2_novi_blonde_prednja_strana_fin;;0;;1;1;0;0;0;;190;0,98;54,58;85,11;54,67;88,25;0,08;0,92;0,02;0,98;;7
cell2_novi_blonde_prednja_strana_fin_corrected;;0;;1;1;1;1;0;;190;0,96;73,87;183,63;74,23;189,86;0,57;0,43;0,05;0,95;;7
