Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;0;;1;1;0;0;0;;53;1.00;156.92;86.55;157.05;87.83;0.57;0.43;0.00;1.00;;4
filler-1_corrected;;0;;1;0;1;1;0;;53;0.21;669.28;1013.52;671.96;1024.20;0.91;0.09;0.00;1.00;;4
filler-2;;0;;1;1;1;1;0;;132;1.00;179.51;98.04;180.09;103.10;0.75;0.25;0.01;0.99;;9
filler-2_corrected;;0;;1;0;1;1;0;;132;0.13;1582.16;1283.90;1651.61;1296.44;0.95;0.05;0.05;0.95;;9
1.reference-lSRP-Right-shelf;;0;;1;1;1;1;0;;95;0.89;242.73;136.13;246.83;141.58;0.47;0.53;0.03;0.97;;7
1.reference-lSRP-Right-shelf_corrected;;1;;1;1;1;1;1;;95;0.67;901.55;233.89;901.75;248.11;0.51;0.49;0.12;0.88;;7
translation-far;;0;;1;1;0;0;0;;41;1.00;194.01;84.88;201.69;85.07;0.83;0.17;0.00;1.00;;3
translation-far_corrected;;0;;1;1;0;0;0;;41;0.80;433.09;70.72;462.74;70.72;0.54;0.46;0.00;1.00;;3
1.Shabam-Marketing-reference;;1;;1;1;1;1;1;;386;0.94;282.24;154.62;285.72;156.60;0.89;0.11;0.16;0.84;;28
1.Shabam-Marketing-reference_corrected;;0;;1;0;1;1;1;;386;0.41;1674.29;670.84;1696.42;695.80;0.83;0.17;0.18;0.82;;28
translation-individual;;0;;1;1;0;0;0;;39;1.00;96.29;39.26;99.03;39.99;1.00;0.00;0.03;0.97;;3
translation-individual_corrected;;0;;1;0;0;0;0;;39;0.10;287.19;59.50;299.12;59.86;1.00;0.00;0.00;1.00;;3
1.lSRP-pepper-individual;;0;;1;1;1;1;0;;136;1.00;215.80;124.01;215.92;125.04;0.55;0.45;0.10;0.90;;10
1.lSRP-pepper-individual_corrected;;0;;1;0;1;1;1;;136;0.62;875.92;242.95;888.81;245.83;0.29;0.71;0.38;0.63;;10
1-Shabam-reference-individual;;0;;1;1;0;0;0;;129;1.00;213.53;77.78;214.31;77.91;0.71;0.29;0.02;0.98;;10
1-Shabam-reference-individual_corrected;;1;;1;1;1;1;1;;129;0.78;697.13;105.42;702.22;105.51;0.38;0.62;0.12;0.88;;10
