Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;0;;1;1;0;0;0;;40;0.93;119.12;183.45;119.34;187.41;0.98;0.03;0.58;0.43;;1
filler-1_corrected;;0;;1;1;0;0;0;;40;0.93;104.08;171.43;104.11;174.55;0.95;0.05;0.23;0.78;;1
filler-2;;0;;1;1;0;0;0;;40;1.00;90.17;93.41;90.37;95.82;1.00;0.00;0.25;0.75;;1
filler-2_corrected;;0;;1;1;0;0;1;;40;1.00;80.15;88.80;80.40;92.55;0.75;0.25;0.13;0.88;;1
FULL_BAY_Current_cell1;;0;;1;1;0;0;0;;42;0.95;102.12;54.60;105.30;57.05;0.14;0.86;0.05;0.95;;1
FULL_BAY_Current_cell1_corrected;;0;;1;1;0;0;0;;42;0.81;91.69;55.82;94.91;59.35;0.02;0.98;0.00;1.00;;1
XXX-translation-1;;1;;1;1;1;1;1;;35;1.00;186.24;143.65;208.07;163.67;0.77;0.23;0.71;0.29;;1
XXX-translation-1_corrected;;1;;1;1;1;1;1;;35;1.00;160.75;123.90;179.32;140.27;0.74;0.26;0.63;0.37;;1
3_SHELVES_Current_cell1;;0;;1;1;0;0;1;;28;1.00;208.20;54.61;214.55;54.95;0.11;0.89;0.43;0.57;;1
3_SHELVES_Current_cell1_corrected;;0;;1;1;0;0;0;;28;1.00;183.88;43.30;189.97;43.44;0.07;0.93;0.07;0.93;;1
XXX-translation-2;;1;;1;1;1;1;1;;36;1.00;298.25;123.45;340.46;134.32;0.72;0.28;0.75;0.25;;1
XXX-translation-2_corrected;;1;;1;1;1;1;1;;36;1.00;260.72;96.08;297.48;102.67;0.72;0.28;0.69;0.31;;1
PRODUCT_SHOT_skinless_current_cell1;;1;;1;1;1;1;1;;49;1.00;285.99;107.15;289.84;114.74;0.67;0.33;0.80;0.20;;3
PRODUCT_SHOT_skinless_current_cell1_corrected;;1;;1;1;0;1;1;;49;0.98;250.56;83.56;253.98;87.50;0.35;0.65;0.67;0.33;;3
