Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;0;;1;1;0;0;0;;56;0.96;123.21;166.46;124.06;166.63;0.95;0.05;0.21;0.79;;2
filler-1_corrected;;1;;1;1;1;1;1;;56;0.66;478.38;805.84;498.68;840.80;0.82;0.18;0.21;0.79;;2
filler-2;;1;;1;1;1;1;1;;235;0.99;173.78;157.67;175.30;164.21;0.90;0.10;0.61;0.39;;9
filler-2_corrected;;1;;1;1;1;1;1;;235;0.80;471.26;843.81;475.06;870.38;0.90;0.10;0.61;0.39;;9
1.reference-lSRP-Right-shelf;;1;;1;1;1;1;1;;140;1.00;326.56;142.47;331.35;142.51;0.71;0.29;0.56;0.44;;5
1.reference-lSRP-Right-shelf_corrected;;1;;1;1;1;1;1;;140;0.84;401.80;327.16;405.98;328.24;0.59;0.41;0.53;0.47;;5
translation-far;;0;;1;1;0;0;1;;59;1.00;105.45;83.92;105.46;84.00;0.85;0.15;0.39;0.61;;2
translation-far_corrected;;1;;1;1;1;1;1;;59;0.95;198.99;271.48;202.95;274.97;0.78;0.22;0.37;0.63;;2
1.Shabam-Marketing-reference;;1;;1;1;1;1;1;;329;1.00;370.47;97.91;401.42;98.13;0.60;0.40;0.80;0.20;;13
1.Shabam-Marketing-reference_corrected;;1;;1;1;1;1;1;;329;0.97;430.05;202.35;459.20;203.65;0.60;0.40;0.77;0.23;;13
1-Shabam-reference-individual;;0;;1;1;0;0;0;;163;1.00;198.41;61.32;204.65;61.67;0.87;0.13;0.01;0.99;;7
1-Shabam-reference-individual_corrected;;0;;1;0;1;1;0;;163;0.36;362.00;258.99;372.52;259.05;0.72;0.28;0.01;0.99;;7
1.lSRP-pepper-individual;;0;;1;1;0;0;1;;165;1.00;205.49;83.21;205.84;83.94;0.35;0.65;0.36;0.64;;7
1.lSRP-pepper-individual_corrected;;1;;1;1;1;1;1;;165;0.94;313.55;190.07;313.66;190.38;0.29;0.71;0.33;0.67;;7
translation-individual;;0;;1;1;0;0;1;;59;0.97;149.49;117.69;155.61;120.27;0.68;0.32;0.15;0.85;;2
translation-individual_corrected;;1;;1;1;1;1;1;;59;0.68;460.83;743.22;475.42;773.58;0.51;0.49;0.10;0.90;;2
