Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;0;;1;1;1;1;0;;202;0.98;254.61;158.58;254.77;160.45;0.76;0.24;0.91;0.09;;10
filler-1_corrected;;0;;1;1;1;1;0;;202;0.83;315.05;274.05;315.05;279.05;0.90;0.10;0.93;0.07;;10
filler-2;;1;;1;1;1;1;1;;79;0.99;256.87;128.89;260.74;128.90;0.56;0.44;0.89;0.11;;4
filler-2_corrected;;1;;1;1;1;1;1;;79;0.99;308.58;141.76;313.05;145.24;0.75;0.25;0.90;0.10;;4
FULL_BAY_Current_cell1;;1;;1;1;1;1;1;;52;1.00;107.65;90.83;109.74;95.47;0.75;0.25;0.25;0.75;;3
FULL_BAY_Current_cell1_corrected;;0;;1;0;1;1;0;;52;0.37;160.72;131.96;163.70;136.41;0.90;0.10;0.25;0.75;;3
XXX-translation-1;;0;;1;1;0;0;0;;44;0.98;85.86;125.17;86.12;128.62;0.95;0.05;0.61;0.39;;2
XXX-translation-1_corrected;;0;;1;1;1;1;0;;44;0.93;172.31;251.97;172.35;257.11;1.00;0.00;0.64;0.36;;2
3_SHELVES_Current_cell1;;0;;1;0;1;1;0;;346;0.64;380.93;194.03;381.16;195.88;0.93;0.07;0.32;0.68;;17
3_SHELVES_Current_cell1_corrected;;0;;1;0;1;1;0;;346;0.25;1369.68;625.04;1387.21;632.40;0.98;0.02;0.32;0.68;;17
XXX-translation-2;;0;;1;0;1;1;0;;44;0.61;256.70;163.84;268.72;167.41;1.00;0.00;0.64;0.36;;3
XXX-translation-2_corrected;;0;;1;0;1;1;0;;44;0.11;497.84;258.41;525.51;271.70;1.00;0.00;0.52;0.48;;3
PRODUCT_SHOT_skinless_current_cell1;;1;;1;1;1;1;1;;261;0.99;129.96;90.00;130.48;90.88;0.89;0.11;0.39;0.61;;15
PRODUCT_SHOT_skinless_current_cell1_corrected;;0;;1;1;1;1;0;;261;0.89;203.16;176.36;203.17;178.25;0.99;0.01;0.43;0.57;;15
