Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1_NL;;0;;1;0;0;0;1;;28;0,64;747,78;57,31;876,57;58,33;0,50;0,50;0,75;0,25;;4
filler-1_NL_corrected;;0;;1;1;1;1;0;;28;0,96;316,68;401,80;322,98;407,02;0,00;1,00;0,96;0,04;;4
filler-2_NL;;0;;1;1;0;0;1;;31;0,81;584,38;84,39;585,72;84,53;0,26;0,74;0,87;0,13;;5
filler-2_NL_corrected;;0;;1;1;0;0;0;;31;1,00;60,71;49,63;61,84;50,79;0,03;0,97;0,94;0,06;;5
XXX-translation-1-nl;;0;;1;1;0;0;0;;13;1,00;90,16;31,01;90,78;31,83;0,77;0,23;1,00;0,00;;2
XXX-translation-1-nl_corrected;;1;;1;1;1;1;1;;13;0,77;658,97;110,38;715,30;110,78;0,15;0,85;0,85;0,15;;2
new_ver5;;0;;1;1;1;1;0;;24;1,00;221,04;89,61;230,52;90,45;0,58;0,42;0,00;1,00;;4
new_ver5_corrected;;1;;1;1;1;1;1;;24;0,67;270,80;166,63;286,23;169,77;0,21;0,79;0,17;0,83;;4
cell2_novi_bruine_prednja_strana_fin;;1;;1;1;1;1;1;;45;0,67;296,61;190,22;306,79;197,82;0,38;0,62;0,27;0,73;;7
cell2_novi_bruine_prednja_strana_fin_corrected;;0;;1;0;1;1;1;;45;0,64;1699,80;1588,84;1700,07;1606,76;0,38;0,62;0,36;0,64;;7
cell2_novi_bruine_zadnja_strana_fin;;0;;1;0;1;1;1;;44;0,55;248,37;211,85;257,72;211,89;0,73;0,27;0,39;0,61;;7
cell2_novi_bruine_zadnja_strana_fin_corrected;;0;;1;0;1;1;1;;44;0,43;5731,08;4789,63;5788,58;4859,05;0,36;0,64;0,41;0,59;;7
cell2_novi_blonde_prednja_strana_fin;;1;;1;1;1;1;1;;44;0,73;263,75;193,30;263,76;193,30;0,48;0,52;0,27;0,73;;7
cell2_novi_blonde_prednja_strana_fin_corrected;;0;;1;0;1;1;1;;44;0,52;5789,27;3837,70;5833,20;3870,66;0,41;0,59;0,18;0,82;;7
