Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;0;;1;1;0;0;0;;81;1.00;155.54;128.32;158.26;131.84;0.95;0.05;0.48;0.52;;3
filler-1_corrected;;0;;1;0;1;1;1;;81;0.59;5248.77;2484.38;5348.04;2516.37;0.41;0.59;0.33;0.67;;3
filler-2;;1;;1;1;1;1;1;;38;1.00;233.27;147.74;241.58;152.85;0.58;0.42;0.71;0.29;;2
filler-2_corrected;;0;;1;0;1;1;1;;38;0.45;2224.54;1183.95;2327.80;1256.31;0.34;0.66;0.55;0.45;;2
1.reference-lSRP-Right-shelf;;0;;1;1;0;0;1;;26;1.00;129.62;67.56;130.44;67.88;0.77;0.23;0.85;0.15;;1
1.reference-lSRP-Right-shelf_corrected;;0;;1;0;1;1;1;;26;0.62;1616.59;504.68;1724.38;526.73;0.35;0.65;0.50;0.50;;1
translation-far;;0;;1;1;0;0;1;;29;1.00;135.62;80.53;135.88;80.58;0.90;0.10;0.76;0.24;;1
translation-far_corrected;;1;;1;1;1;1;1;;29;0.83;24279.51;6384.78;24649.33;6475.98;0.55;0.45;0.59;0.41;;1
1.Shabam-Marketing-reference;;0;;1;1;1;1;0;;134;0.84;302.34;137.53;304.32;139.24;0.81;0.19;1.00;0.00;;7
1.Shabam-Marketing-reference_corrected;;0;;1;1;1;1;0;;134;0.97;283.44;114.73;283.71;114.86;0.81;0.19;0.96;0.04;;7
1.lSRP-pepper-individual;;0;;1;1;0;0;1;;65;1.00;157.09;104.75;158.49;106.55;0.86;0.14;0.55;0.45;;3
1.lSRP-pepper-individual_corrected;;0;;1;0;1;1;1;;65;0.55;19737.10;7469.46;19826.15;7516.73;0.46;0.54;0.57;0.43;;3
1-Shabam-reference-individual;;1;;1;1;1;1;1;;44;1.00;239.16;96.39;239.42;96.42;0.52;0.48;0.64;0.36;;3
1-Shabam-reference-individual_corrected;;0;;1;0;1;1;1;;44;0.50;66869.68;11712.75;67806.53;11886.38;0.36;0.64;0.57;0.43;;3
translation-individual;;0;;1;1;0;0;0;;24;1.00;137.73;53.77;142.60;56.88;0.92;0.08;0.83;0.17;;1
translation-individual_corrected;;1;;1;1;1;1;1;;24;0.88;5649.59;1169.46;5713.03;1175.49;0.71;0.29;0.63;0.38;;1
