Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;0;;1;1;0;0;1;;109;0.99;159.76;156.77;160.80;158.21;0.31;0.69;0.16;0.84;;5
filler-1_corrected;;0;;1;0;1;1;0;;109;0.50;849.84;329.65;897.21;338.46;0.01;0.99;0.22;0.78;;5
filler-2;;0;;1;1;0;0;1;;50;0.88;149.06;218.06;152.92;222.22;0.32;0.68;0.50;0.50;;3
filler-2_corrected;;0;;1;1;1;1;0;;50;0.66;392.34;151.00;393.40;151.46;0.00;1.00;0.70;0.30;;3
1.reference-lSRP-Right-shelf;;1;;1;1;1;1;1;;518;0.98;201.63;201.38;201.92;205.23;0.38;0.62;0.31;0.69;;27
1.reference-lSRP-Right-shelf_corrected;;0;;1;0;1;1;1;;518;0.59;7092.78;3181.02;7097.10;3189.17;0.34;0.66;0.72;0.28;;27
translation-far;;0;;1;1;0;0;0;;50;1.00;62.25;119.93;62.28;127.23;0.02;0.98;0.28;0.72;;3
translation-far_corrected;;0;;1;1;1;1;0;;50;0.82;1334.15;853.93;1341.73;856.74;0.06;0.94;0.92;0.08;;3
1.Shabam-Marketing-reference;;1;;1;1;1;1;1;;418;0.82;238.32;269.69;247.66;284.03;0.12;0.88;0.55;0.45;;23
1.Shabam-Marketing-reference_corrected;;1;;1;1;1;1;1;;418;0.85;1079.62;463.18;1079.62;466.97;0.11;0.89;0.89;0.11;;23
translation-individual;;0;;1;1;0;0;1;;41;0.93;92.63;198.70;93.47;198.84;0.12;0.88;0.63;0.37;;2
translation-individual_corrected;;0;;1;1;1;1;0;;41;0.90;437.56;220.84;441.32;221.12;0.17;0.83;0.95;0.05;;2
1-Shabam-reference-individual;;0;;1;1;0;0;0;;103;0.99;56.25;140.00;56.66;140.28;0.07;0.93;0.31;0.69;;5
1-Shabam-reference-individual_corrected;;0;;1;1;1;1;0;;103;0.76;840.71;860.34;841.46;863.48;0.06;0.94;0.72;0.28;;5
1.lSRP-pepper-individual;;0;;1;1;0;0;1;;64;0.83;73.30;229.05;75.00;233.05;0.25;0.75;0.23;0.77;;3
1.lSRP-pepper-individual_corrected;;0;;1;1;1;1;0;;64;0.78;1387.14;835.46;1410.64;850.47;0.03;0.97;0.75;0.25;;3
