Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
task2_prod_cell1;;1;;1;1;1;1;1;;116;0.97;267.26;1496.51;269.53;1588.58;0.20;0.80;0.71;0.29;;20
task2_prod_cell1_corrected;;1;;1;1;1;1;1;;116;0.97;384.38;1491.85;392.80;1566.09;0.66;0.34;0.72;0.28;;20
Cell1_21_Light_Fit_Strawberry;;0;;1;1;0;0;0;;53;0.89;297.15;162.17;318.39;164.13;0.28;0.72;1.00;0.00;;8
Cell1_21_Light_Fit_Strawberry_corrected;;0;;1;1;0;0;0;;53;0.94;288.65;173.73;292.21;182.88;0.43;0.57;1.00;0.00;;8
Cell1_12_YoBaby_Banana_Mango;;0;;1;1;0;0;0;;15;1.00;223.58;99.66;247.86;102.68;0.13;0.87;1.00;0.00;;4
Cell1_12_YoBaby_Banana_Mango_corrected;;0;;1;1;0;0;0;;15;0.87;355.03;184.19;365.74;197.76;0.20;0.80;1.00;0.00;;4
Cell1_22_Yokids_CherryBerryBase;;0;;1;1;0;0;0;;11;0.73;351.10;247.94;351.11;277.91;0.73;0.27;1.00;0.00;;2
Cell1_22_Yokids_CherryBerryBase_corrected;;0;;1;1;0;0;0;;11;0.73;326.33;320.16;342.36;322.99;0.73;0.27;1.00;0.00;;2
Cell1_11_Light_Fit_vanilla;;0;;0;1;0;0;0;;8;1.00;182.60;221.78;187.15;225.87;0.25;0.75;1.00;0.00;;1
Cell1_11_Light_Fit_vanilla_corrected;;0;;0;1;0;0;0;;8;1.00;220.28;355.00;229.56;367.02;0.50;0.50;1.00;0.00;;1
TargetC;;0;;1;1;1;1;0;;99;0.99;159.72;1564.74;159.82;1581.97;0.04;0.96;0.74;0.26;;17
TargetC_corrected;;1;;1;1;1;1;1;;99;0.90;312.74;1585.24;317.10;1592.00;0.38;0.62;0.73;0.27;;17
peapodB;;0;;1;1;0;0;0;;43;0.98;169.06;325.17;170.32;327.91;0.14;0.86;1.00;0.00;;10
peapodB_corrected;;0;;1;1;0;0;0;;43;0.98;233.26;365.43;234.39;373.07;0.53;0.47;1.00;0.00;;10
