Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;1;;1;1;1;1;1;;29;1.00;308.05;110.84;313.27;111.02;0.10;0.90;0.31;0.69;;4
filler-1_corrected;;1;;1;1;1;1;1;;29;0.90;300.65;170.71;301.34;170.89;0.14;0.86;0.14;0.86;;4
filler-2;;1;;1;1;1;1;1;;30;0.93;281.55;138.51;292.07;139.49;0.43;0.57;0.27;0.73;;4
filler-2_corrected;;0;;1;1;1;1;0;;30;0.90;284.04;130.45;292.15;132.73;0.47;0.53;0.00;1.00;;4
FULL_BAY_Current_cell1;;0;;1;1;1;1;0;;38;0.79;98.03;133.49;100.51;137.91;0.00;1.00;0.32;0.68;;3
FULL_BAY_Current_cell1_corrected;;0;;1;1;1;1;0;;38;0.89;74.15;203.70;74.74;215.80;0.05;0.95;0.16;0.84;;3
XXX-translation-1;;0;;1;1;0;0;1;;29;1.00;124.94;101.54;136.83;103.81;0.83;0.17;0.79;0.21;;3
XXX-translation-1_corrected;;0;;1;1;0;0;1;;29;1.00;105.68;169.74;115.28;173.59;0.79;0.21;0.76;0.24;;3
3_SHELVES_Current_cell1;;1;;1;1;1;1;1;;28;1.00;256.39;117.87;256.43;118.11;0.21;0.79;0.32;0.68;;4
3_SHELVES_Current_cell1_corrected;;1;;1;1;1;1;1;;28;0.82;280.40;166.66;281.74;171.56;0.14;0.86;0.14;0.86;;4
XXX-translation-2;;1;;1;1;1;1;1;;16;1.00;170.78;216.20;177.23;227.94;0.13;0.88;0.63;0.38;;2
XXX-translation-2_corrected;;1;;1;1;1;1;1;;16;0.81;175.64;304.74;175.69;318.14;0.19;0.81;0.50;0.50;;2
PRODUCT_SHOT_skinless_current_cell1;;0;;1;1;0;0;1;;43;1.00;145.87;67.52;146.18;67.65;0.23;0.77;0.70;0.30;;4
PRODUCT_SHOT_skinless_current_cell1_corrected;;1;;1;1;1;1;1;;43;1.00;146.81;125.41;146.88;125.55;0.19;0.81;0.16;0.84;;4
