Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;0;;1;0;1;1;1;;129;0.42;713.86;424.95;920.13;451.86;0.33;0.67;0.68;0.32;;5
filler-1_corrected;;0;;1;0;1;1;1;;129;0.41;646.06;483.31;800.26;523.47;0.22;0.78;0.67;0.33;;5
filler-2;;1;;1;1;1;1;1;;17;1.00;178.12;94.28;186.93;99.36;0.59;0.41;0.12;0.88;;1
filler-2_corrected;;1;;1;1;1;1;1;;17;1.00;196.41;97.46;210.16;104.78;0.24;0.76;0.12;0.88;;1
1.reference-lSRP-Right-shelf;;1;;1;1;1;1;1;;134;0.99;337.45;160.47;355.45;160.61;0.39;0.61;0.50;0.50;;6
1.reference-lSRP-Right-shelf_corrected;;1;;1;1;1;1;1;;134;0.99;370.04;169.39;392.02;170.05;0.34;0.66;0.52;0.48;;6
translation-far;;1;;1;1;1;1;1;;39;0.95;210.62;215.52;220.27;215.55;0.33;0.67;0.49;0.51;;2
translation-far_corrected;;0;;1;1;1;1;0;;39;0.92;228.08;234.60;238.30;235.46;0.05;0.95;0.51;0.49;;2
1.Shabam-Marketing-reference;;1;;1;1;1;1;1;;216;0.96;294.90;198.23;311.71;198.98;0.25;0.75;0.62;0.38;;10
1.Shabam-Marketing-reference_corrected;;1;;1;1;1;1;1;;216;0.97;300.50;208.31;319.55;208.37;0.16;0.84;0.68;0.32;;10
1-Shabam-reference-individual;;1;;1;1;1;1;1;;120;0.93;217.31;211.29;224.55;211.38;0.23;0.77;0.70;0.30;;5
1-Shabam-reference-individual_corrected;;0;;1;1;1;1;0;;120;0.93;225.71;236.03;234.88;237.53;0.07;0.93;0.73;0.27;;5
translation-individual;;1;;1;1;1;1;1;;33;0.79;256.12;325.38;272.02;325.52;0.45;0.55;0.67;0.33;;1
translation-individual_corrected;;1;;1;1;1;1;1;;33;0.79;269.35;305.56;283.49;306.00;0.18;0.82;0.70;0.30;;1
1.lSRP-pepper-individual;;1;;1;1;1;1;1;;89;0.94;258.32;210.76;258.33;213.49;0.28;0.72;0.72;0.28;;4
1.lSRP-pepper-individual_corrected;;1;;1;1;1;1;1;;89;0.90;271.14;240.67;271.19;244.58;0.16;0.84;0.76;0.24;;4
