Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;0;;1;1;0;0;0;;37;1.00;142.37;97.28;142.99;97.95;0.05;0.95;0.76;0.24;;3
filler-1_corrected;;0;;1;1;0;0;0;;37;0.73;160.11;300.14;160.71;300.16;0.05;0.95;0.11;0.89;;3
filler-2;;0;;1;1;1;1;0;;68;1.00;209.91;100.30;218.80;101.59;0.07;0.93;0.69;0.31;;5
filler-2_corrected;;1;;1;1;1;1;1;;68;0.79;290.35;307.12;293.47;307.43;0.10;0.90;0.19;0.81;;5
1.reference-lSRP-Right-shelf;;0;;1;1;0;0;0;;27;1.00;111.32;54.55;116.05;57.82;0.00;1.00;0.30;0.70;;2
1.reference-lSRP-Right-shelf_corrected;;0;;1;0;0;0;0;;27;0.52;155.85;154.59;159.76;161.59;0.00;1.00;0.04;0.96;;2
translation-far;;0;;1;1;1;1;0;;20;1.00;215.80;152.49;217.17;152.85;0.10;0.90;0.50;0.50;;2
translation-far_corrected;;0;;1;0;1;1;1;;20;0.55;265.47;483.86;269.58;484.91;0.15;0.85;0.30;0.70;;2
1.Shabam-Marketing-reference;;0;;1;1;0;0;1;;220;0.99;263.78;77.32;269.23;77.98;0.10;0.90;0.81;0.19;;18
1.Shabam-Marketing-reference_corrected;;1;;1;1;1;1;1;;220;0.69;387.11;259.62;399.24;259.70;0.24;0.76;0.16;0.84;;18
1.lSRP-pepper-individual;;0;;1;1;0;0;0;;111;0.98;118.73;78.86;120.58;80.55;0.00;1.00;0.54;0.46;;11
1.lSRP-pepper-individual_corrected;;0;;1;0;1;1;0;;111;0.66;171.69;251.69;172.16;253.12;0.00;1.00;0.10;0.90;;11
1-Shabam-reference-individual;;0;;1;1;0;0;0;;54;1.00;94.89;106.22;94.89;112.55;0.00;1.00;0.65;0.35;;4
1-Shabam-reference-individual_corrected;;0;;1;1;0;0;0;;54;0.69;127.00;288.97;127.27;306.74;0.00;1.00;0.02;0.98;;4
translation-individual;;0;;1;1;0;0;0;;29;1.00;96.01;186.12;97.25;193.71;0.00;1.00;0.62;0.38;;3
translation-individual_corrected;;0;;1;0;0;0;0;;29;0.55;145.60;640.21;145.67;644.13;0.00;1.00;0.31;0.69;;3
