Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1_NL;;0;;1;0;1;1;1;;123;0,46;1381,87;327,34;1413,50;334,52;0,56;0,44;0,74;0,26;;6
filler-1_NL_corrected;;0;;1;1;1;1;0;;123;0,76;9152,49;2802,74;9168,78;2810,19;0,22;0,78;0,95;0,05;;6
filler-2_NL;;0;;1;0;1;1;1;;73;0,41;1189,45;278,44;1210,38;278,46;0,89;0,11;0,11;0,89;;3
filler-2_NL_corrected;;0;;1;0;1;1;1;;73;0,41;8485,05;2604,84;8506,47;2611,52;0,58;0,42;0,60;0,40;;3
XXX-translation-1-nl;;0;;1;0;1;1;0;;32;0,28;477,15;170,50;494,13;183,76;0,88;0,13;0,94;0,06;;2
XXX-translation-1-nl_corrected;;0;;1;1;0;0;0;;32;0,94;150,29;45,96;152,80;46,85;0,00;1,00;1,00;0,00;;2
new_ver5;;0;;1;0;1;1;1;;52;0,50;462,46;160,90;463,32;162,23;0,79;0,21;0,21;0,79;;3
new_ver5_corrected;;0;;1;0;1;1;1;;52;0,48;1646,68;505,45;1650,07;506,57;0,38;0,62;0,73;0,27;;3
cell2_novi_bruine_prednja_strana_fin;;0;;1;0;1;1;0;;149;0,32;291,35;92,70;291,35;92,92;0,95;0,05;0,16;0,84;;7
cell2_novi_bruine_prednja_strana_fin_corrected;;0;;1;0;1;1;1;;149;0,09;4035,26;1241,90;4035,40;1241,94;0,30;0,70;0,72;0,28;;7
cell2_novi_bruine_zadnja_strana_fin;;0;;1;0;1;1;1;;149;0,48;409,91;161,88;417,06;162,20;0,81;0,19;0,19;0,81;;7
cell2_novi_bruine_zadnja_strana_fin_corrected;;0;;1;0;1;1;1;;149;0,39;1803,90;555,84;1809,73;557,69;0,56;0,44;0,54;0,46;;7
cell2_novi_blonde_prednja_strana_fin;;0;;1;0;1;1;0;;150;0,32;308,58;98,58;310,30;99,41;0,99;0,01;0,09;0,91;;7
cell2_novi_blonde_prednja_strana_fin_corrected;;0;;1;0;1;1;1;;150;0,03;32082,60;9872,73;32132,44;9888,14;0,51;0,49;0,49;0,51;;7
