Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;1;;1;1;1;1;1;;135;0,99;306,66;162,35;313,49;163,83;0,52;0,48;0,61;0,39;;9
filler-1_corrected;;1;;1;1;1;1;1;;135;0,84;391,68;199,64;400,48;208,82;0,64;0,36;0,61;0,39;;9
current_ver1;;1;;1;1;1;1;1;;113;0,98;164,16;127,52;169,90;131,12;0,27;0,73;0,23;0,77;;7
current_ver1_corrected;;1;;1;1;1;1;1;;113;0,96;217,95;176,16;223,07;176,27;0,46;0,54;0,26;0,74;;7
cell1_bruin_current_front;;1;;1;1;1;1;1;;105;1,00;87,72;118,92;87,88;123,12;0,82;0,18;0,76;0,24;;7
cell1_bruin_current_front_corrected;;0;;1;1;1;1;0;;105;0,83;147,54;162,51;147,61;169,65;0,96;0,04;0,78;0,22;;7
cell1_bruin_current_back;;1;;1;1;1;1;1;;106;0,97;110,93;102,42;112,09;104,54;0,90;0,10;0,82;0,18;;7
cell1_bruin_current_back_corrected;;0;;1;1;1;1;0;;106;0,86;174,89;113,97;177,03;118,31;0,98;0,02;0,82;0,18;;7
cell1_blonde_current_back;;1;;1;1;1;1;1;;106;0,93;111,82;185,45;111,82;188,20;0,88;0,12;0,68;0,32;;7
cell1_blonde_current_back_corrected;;0;;1;1;1;1;0;;106;0,71;264,19;432,63;265,59;445,75;0,94;0,06;0,68;0,32;;7
