Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;1;;1;1;1;1;1;;32;0.91;188.56;293.57;188.78;306.78;0.53;0.47;0.16;0.84;;6
filler-1_corrected;;0;;1;0;1;1;1;;32;0.41;2349.21;832.87;2377.85;833.08;0.47;0.53;0.50;0.50;;7
filler-2;;0;;1;1;0;0;1;;10;1.00;147.84;155.34;155.28;156.07;0.70;0.30;0.50;0.50;;2
filler-2_corrected;;0;;1;0;1;1;1;;10;0.40;1811.20;366.62;1831.45;400.02;0.60;0.40;0.40;0.60;;2
FULL_BAY_Current_cell1;;0;;1;0;1;1;1;;23;0.61;200.01;392.37;206.62;401.05;0.70;0.30;0.65;0.35;;5
FULL_BAY_Current_cell1_corrected;;0;;1;0;1;1;1;;23;0.04;3400.17;1896.23;3401.80;1916.68;0.30;0.70;0.57;0.43;;5
XXX-translation-1;;0;;0;1;0;0;0;;8;1.00;123.24;108.31;123.91;112.12;0.88;0.13;0.00;1.00;;2
XXX-translation-1_corrected;;0;;0;0;1;1;1;;8;0.13;2678.79;393.91;2852.12;396.55;0.50;0.50;0.50;0.50;;2
3_SHELVES_Current_cell1;;1;;1;1;1;1;1;;44;0.89;148.35;255.82;148.36;256.18;0.84;0.16;0.41;0.59;;9
3_SHELVES_Current_cell1_corrected;;0;;1;0;1;1;1;;44;0.20;10054.69;3902.62;10193.39;3939.45;0.11;0.89;0.77;0.23;;9
XXX-translation-2;;0;;0;1;0;0;0;;6;1.00;64.29;26.03;65.46;29.56;1.00;0.00;1.00;0.00;;1
XXX-translation-2_corrected;;0;;0;1;0;0;0;;6;0.83;100.51;87.40;107.04;93.31;0.00;1.00;0.00;1.00;;1
PRODUCT_SHOT_skinless_current_cell1;;0;;1;0;1;1;1;;29;0.52;205.72;387.15;211.72;426.52;0.79;0.21;0.76;0.24;;7
PRODUCT_SHOT_skinless_current_cell1_corrected;;0;;1;0;1;1;1;;29;0.38;5041.08;2561.26;5063.05;2564.50;0.34;0.66;0.38;0.62;;7
