Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;0;;1;1;0;0;1;;84;1.00;143.27;156.61;144.77;163.05;0.19;0.81;0.15;0.85;;3
filler-1_corrected;;0;;1;1;0;0;1;;84;0.90;149.56;268.45;156.12;277.07;0.67;0.33;0.45;0.55;;3
filler-2;;1;;1;1;1;1;1;;215;0.90;316.16;136.97;316.17;137.27;0.20;0.80;0.35;0.65;;8
filler-2_corrected;;1;;1;1;1;1;1;;215;0.84;383.05;228.98;383.54;229.65;0.27;0.73;0.72;0.28;;8
FULL_BAY_IrishRecipe_cell4;;0;;1;0;1;1;0;;77;0.38;146.48;123.06;159.52;135.87;0.01;0.99;0.18;0.82;;3
FULL_BAY_IrishRecipe_cell4_corrected;;0;;1;1;1;1;0;;77;0.82;110.55;213.38;110.55;241.70;0.09;0.91;0.38;0.62;;3
XXX-translation-1;;0;;1;1;0;0;0;;61;1.00;104.28;73.55;108.32;76.23;0.02;0.98;0.05;0.95;;2
XXX-translation-1_corrected;;0;;1;1;0;0;0;;61;1.00;74.77;129.46;75.78;135.03;0.02;0.98;0.75;0.25;;2
3_SHELVES_IrishRecipe_cell4;;0;;1;1;1;1;0;;234;0.85;293.23;113.33;316.26;117.13;0.10;0.90;0.09;0.91;;9
3_SHELVES_IrishRecipe_cell4_corrected;;1;;1;1;1;1;1;;234;0.96;291.51;201.61;308.23;216.01;0.18;0.82;0.18;0.82;;9
XXX-translation-2;;0;;1;1;1;1;0;;87;0.92;218.07;161.22;224.16;166.70;0.09;0.91;0.02;0.98;;3
XXX-translation-2_corrected;;1;;1;1;1;1;1;;87;0.91;294.97;245.92;294.98;256.39;0.45;0.55;0.61;0.39;;3
PRODUCT_SHOT_skinless_IrishRecipe_cell4;;0;;1;1;0;0;0;;268;0.95;144.04;60.51;144.35;60.51;0.00;1.00;0.08;0.92;;11
PRODUCT_SHOT_skinless_IrishRecipe_cell4_corrected;;0;;1;1;1;1;0;;268;0.98;157.38;104.71;159.09;104.80;0.08;0.92;0.61;0.39;;11
